source_id,source_type,category,priority,technical_details,suggested_title
R-1001,app_store,Bug,Critical,"Pixel 7, Android 14; crash on export to PDF","Crash when exporting tasks to PDF on Android"
R-1002,app_store,Feature Request,Medium,,"Add calendar view for weekly planning"
R-1003,app_store,Praise,Low,,"Positive review: seamless sync"
R-1004,app_store,Bug,High,"OAuth timeout, login failure on iOS","Login failure after update (OAuth timeout)"
R-1005,app_store,Feature Request,Medium,,"Support tags for tasks"
R-1006,app_store,Bug,Critical,"Data sync failure between iPhone and Mac","Data loss during cross-device sync"
R-1007,app_store,Praise,Low,,"Positive feedback on focus timer"
R-1008,app_store,Complaint,Medium,,"Pricing concerns compared to competitors"
R-1009,app_store,Spam,Low,,"Spam review advertising followers"
R-1010,app_store,Feature Request,Medium,,"Add offline mode for travel"
E-5001,support_email,Bug,High,"Pixel 6, Android 14, crash on export PDF","Crash exporting to PDF on Android 14"
E-5002,support_email,Feature Request,Low,,"Request dark mode theme"
E-5003,support_email,Bug,Critical,"iPad iOS 17.4, Mac app; merging lists causes data loss","Critical data loss after list merge"
E-5004,support_email,Feature Request,Medium,,"Custom recurrence intervals"
E-5005,support_email,Bug,High,"Google SSO OAuth timeout on iPhone 13 Pro iOS 17.3.1","Google SSO login failing on iOS"
E-5006,support_email,Praise,Low,,"Positive feedback email"
